id_transacao,data_hora,id_estabelecimento,bandeira_cartao,modalidade,valor,status,id_cliente,sexo,faixa_etaria,renda_estimada,nome_fantasia,categoria,cidade,estado,mes_transacao,valor_acumulado_cliente,valor_acumulado_estabelecimento
trx_19,2024-12-09 00:00:00,estab_1,Hipercard,crédito,1058.68,aprovada,cli_451,Feminino,36-45,2k-5k,Pacheco Costela S/A,eletrodomésticos,das Neves de Lopes,MA,12,1058.68,2296.02
trx_20,2024-10-26 08:00:00,estab_29,Hipercard,crédito,1113.44,aprovada,cli_215,Masculino,46-60,10k+,Pastor,vestuário,Melo de Gomes,PB,10,1113.44,1113.44
trx_21,2024-08-29 12:00:00,estab_21,Hipercard,débito,1330.89,aprovada,cli_146,Feminino,36-45,5k-10k,da Mata,eletrodomésticos,Carvalho de Souza,SE,8,1330.89,1330.89
trx_22,2024-10-24 13:00:00,estab_45,Visa,débito,338.14,aprovada,cli_279,Feminino,46-60,5k-10k,da Luz,restaurante,Vieira das Flores,PA,10,338.14,338.14
trx_23,2024-03-08 14:00:00,estab_10,Visa,crédito,1483.19,aprovada,cli_309,Masculino,36-45,5k-10k,da Luz,vestuário,Teixeira,TO,3,2024.89,1483.19
trx_24,2024-12-01 01:00:00,estab_42,Hipercard,crédito,234.32,aprovada,cli_232,Feminino,18-25,2k-5k,Vieira,vestuário,Araújo do Sul,BA,12,234.32,234.32
trx_25,2024-01-15 05:00:00,estab_16,Visa,crédito,903.03,aprovada,cli_492,Masculino,18-25,10k+,Sales - EI,vestuário,Mendonça das Pedras,SE,1,903.03,903.03
trx_26,2024-03-27 10:00:00,estab_35,Elo,débito,987.48,aprovada,cli_148,Feminino,18-25,2k-5k,Rodrigues,eletrodomésticos,Cavalcanti de Cunha,TO,3,987.48,987.48
trx_27,2024-11-29 00:00:00,estab_12,Visa,débito,631.33,aprovada,cli_336,Masculino,60+,<2k,da Rosa,eletrodomésticos,das Neves,MS,11,1641.0300000000002,1033.97
trx_28,2024-01-27 21:00:00,estab_6,Elo,débito,715.18,aprovada,cli_455,Masculino,26-35,<2k,Duarte,farmácia,Alves,AL,1,715.18,715.18
trx_29,2024-06-26 15:00:00,estab_15,Elo,débito,1336.91,aprovada,cli_478,Feminino,26-35,<2k,Montenegro,mercado,Ribeiro dos Dourados,PA,6,1336.91,1336.91
trx_30,2024-09-12 16:00:00,estab_32,Visa,débito,969.68,estornada,cli_274,Masculino,26-35,<2k,Monteiro Novais - EI,vestuário,Rios,BA,9,2066.91,1979.38
trx_31,2024-12-26 06:00:00,estab_44,Hipercard,débito,748.02,recusada,cli_458,Feminino,18-25,<2k,Casa Grande Garcia - ME,mercado,Cavalcante,MA,12,748.02,748.02
trx_32,2024-05-03 17:00:00,estab_0,Elo,crédito,196.88,aprovada,cli_180,Feminino,26-35,5k-10k,da Cunha Santos Ltda.,vestuário,Vargas,TO,5,196.88,196.88
trx_33,2024-05-06 04:00:00,estab_10,Visa,débito,15.97,aprovada,cli_493,Feminino,18-25,<2k,da Luz,vestuário,Teixeira,TO,5,15.97,1499.16
trx_34,2024-11-14 11:00:00,estab_5,Mastercard,débito,191.83,aprovada,cli_433,Masculino,36-45,10k+,Carvalho S.A.,mercado,Alves,AP,11,191.83,205.31
trx_35,2024-04-21 17:00:00,estab_19,Hipercard,crédito,1434.5,aprovada,cli_150,Feminino,46-60,10k+,Novais Leão S.A.,vestuário,Porto da Serra,AM,4,1434.5,2341.49
trx_36,2024-05-31 05:00:00,estab_34,Mastercard,crédito,1147.31,recusada,cli_292,Masculino,60+,<2k,Cavalcante,farmácia,Azevedo,MS,5,1147.31,1147.31
trx_37,2024-06-25 01:00:00,estab_43,Elo,débito,1450.84,aprovada,cli_283,Feminino,36-45,2k-5k,Silva S/A,mercado,Cavalcanti dos Dourados,MS,6,1450.84,1757.02
trx_38,2024-05-07 19:00:00,estab_36,Mastercard,débito,58.38,aprovada,cli_470,Feminino,18-25,2k-5k,Fernandes,farmácia,Pires de Sampaio,BA,5,58.38,1386.74
trx_39,2024-09-04 13:00:00,estab_40,Visa,débito,1021.93,aprovada,cli_203,Feminino,60+,10k+,Vieira,vestuário,Moraes das Pedras,PE,9,1021.93,2272.43
trx_40,2024-02-27 18:00:00,estab_25,Hipercard,débito,71.22,aprovada,cli_79,Masculino,46-60,2k-5k,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,2,71.22,71.22
trx_41,2024-04-29 10:00:00,estab_11,Elo,crédito,1174.17,aprovada,cli_463,Masculino,18-25,2k-5k,Cirino Cirino e Filhos,farmácia,Câmara do Campo,BA,4,1174.17,1174.17
trx_42,2024-07-18 12:00:00,estab_29,Visa,crédito,574.52,aprovada,cli_461,Masculino,26-35,<2k,Pastor,vestuário,Melo de Gomes,PB,7,574.52,1687.96
trx_43,2024-08-16 18:00:00,estab_27,Hipercard,crédito,148.17,aprovada,cli_326,Masculino,60+,10k+,Fogaça Mendonça S.A.,mercado,Carvalho do Norte,DF,8,148.17,148.17
trx_44,2024-06-20 20:00:00,estab_26,Elo,débito,854.23,aprovada,cli_148,Feminino,18-25,2k-5k,Oliveira,farmácia,Vasconcelos do Campo,AP,6,1841.71,1022.05
trx_45,2024-12-13 12:00:00,estab_41,Elo,crédito,423.78,aprovada,cli_276,Feminino,46-60,2k-5k,Nascimento - ME,restaurante,Dias,SP,12,423.78,1757.3
trx_46,2024-06-09 10:00:00,estab_18,Elo,débito,991.06,aprovada,cli_424,Masculino,26-35,5k-10k,Rodrigues Guerra e Filhos,restaurante,Lopes,PB,6,991.06,991.06
trx_47,2024-08-13 15:00:00,estab_4,Elo,crédito,988.97,aprovada,cli_34,Masculino,60+,2k-5k,das Neves,eletrodomésticos,Sampaio,RO,8,988.97,988.97
trx_48,2024-11-15 23:00:00,estab_4,Mastercard,débito,1058.99,aprovada,cli_365,Masculino,46-60,<2k,das Neves,eletrodomésticos,Sampaio,RO,11,1058.99,2047.96
trx_49,2024-10-11 03:00:00,estab_40,Mastercard,débito,1488.74,aprovada,cli_215,Masculino,46-60,10k+,Vieira,vestuário,Moraes das Pedras,PE,10,2602.1800000000003,3761.17
trx_50,2024-12-15 02:00:00,estab_26,Mastercard,crédito,583.11,aprovada,cli_0,Feminino,26-35,5k-10k,Oliveira,farmácia,Vasconcelos do Campo,AP,12,583.11,1605.1599999999999
trx_51,2024-02-25 13:00:00,estab_27,Elo,crédito,700.65,aprovada,cli_205,Feminino,60+,<2k,Fogaça Mendonça S.A.,mercado,Carvalho do Norte,DF,2,700.65,848.8199999999999
trx_52,2024-06-21 22:00:00,estab_25,Mastercard,débito,1207.89,aprovada,cli_467,Masculino,18-25,<2k,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,6,1207.89,1279.1100000000001
trx_53,2024-10-08 22:00:00,estab_26,Hipercard,crédito,869.66,aprovada,cli_91,Masculino,60+,<2k,Oliveira,farmácia,Vasconcelos do Campo,AP,10,869.66,2474.8199999999997
trx_54,2024-04-22 23:00:00,estab_48,Elo,débito,60.7,aprovada,cli_465,Masculino,46-60,<2k,Santos,mercado,Sousa,AP,4,60.7,60.7
trx_55,2024-07-21 05:00:00,estab_41,Hipercard,débito,1265.4,aprovada,cli_450,Feminino,36-45,5k-10k,Nascimento - ME,restaurante,Dias,SP,7,1265.4,3022.7
trx_56,2024-09-15 20:00:00,estab_20,Hipercard,crédito,81.99,aprovada,cli_90,Masculino,18-25,2k-5k,Lima da Cunha S/A,mercado,da Cruz,RS,9,81.99,1179.22
trx_57,2024-11-07 15:00:00,estab_0,Mastercard,crédito,260.38,aprovada,cli_69,Masculino,46-60,10k+,da Cunha Santos Ltda.,vestuário,Vargas,TO,11,260.38,457.26
trx_58,2024-08-13 08:00:00,estab_27,Elo,débito,157.61,aprovada,cli_131,Feminino,46-60,10k+,Fogaça Mendonça S.A.,mercado,Carvalho do Norte,DF,8,574.29,1006.43
trx_59,2024-11-17 11:00:00,estab_47,Mastercard,débito,121.5,aprovada,cli_256,Masculino,46-60,2k-5k,Pinto,eletrodomésticos,Alves,TO,11,121.5,121.5
trx_60,2024-03-14 10:00:00,estab_14,Mastercard,débito,43.4,aprovada,cli_404,Feminino,36-45,10k+,Moreira,vestuário,Aparecida,AL,3,211.22,43.4
trx_61,2024-10-22 21:00:00,estab_16,Mastercard,débito,87.27,aprovada,cli_354,Feminino,18-25,<2k,Sales - EI,vestuário,Mendonça das Pedras,SE,10,87.27,990.3
trx_62,2024-11-15 18:00:00,estab_25,Elo,débito,666.45,aprovada,cli_91,Masculino,60+,<2k,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,11,1536.1100000000001,1945.5600000000002
trx_63,2024-09-12 02:00:00,estab_19,Elo,débito,383.01,aprovada,cli_81,Masculino,18-25,5k-10k,Novais Leão S.A.,vestuário,Porto da Serra,AM,9,383.01,2724.5
trx_64,2024-01-21 01:00:00,estab_24,Mastercard,crédito,194.17,aprovada,cli_371,Masculino,36-45,5k-10k,da Cruz Mendes - ME,restaurante,Porto de da Cunha,TO,1,194.17,735.87
trx_65,2024-01-07 09:00:00,estab_12,Hipercard,crédito,989.76,aprovada,cli_380,Feminino,60+,10k+,da Rosa,eletrodomésticos,das Neves,MS,1,989.76,2023.73
trx_66,2024-11-13 09:00:00,estab_32,Hipercard,crédito,343.04,aprovada,cli_307,Masculino,26-35,5k-10k,Monteiro Novais - EI,vestuário,Rios,BA,11,343.04,2322.42
trx_67,2024-03-04 12:00:00,estab_24,Elo,débito,33.33,aprovada,cli_98,Feminino,18-25,5k-10k,da Cruz Mendes - ME,restaurante,Porto de da Cunha,TO,3,33.33,769.2
trx_68,2024-03-29 08:00:00,estab_7,Visa,débito,630.54,aprovada,cli_52,Feminino,18-25,10k+,Rocha - EI,farmácia,Costa,RN,3,630.54,630.54
trx_69,2024-04-07 15:00:00,estab_4,Mastercard,crédito,469.1,aprovada,cli_340,Feminino,60+,10k+,das Neves,eletrodomésticos,Sampaio,RO,4,469.1,2517.06
trx_70,2024-08-02 00:00:00,estab_5,Mastercard,crédito,481.31,aprovada,cli_79,Masculino,46-60,2k-5k,Carvalho S.A.,mercado,Alves,AP,8,552.53,686.62
trx_71,2024-08-28 00:00:00,estab_22,Visa,crédito,670.68,aprovada,cli_311,Masculino,26-35,5k-10k,Macedo da Cunha - EI,vestuário,Moraes,RR,8,670.68,670.68
trx_72,2024-02-21 16:00:00,estab_29,Elo,débito,1005.03,aprovada,cli_473,Masculino,36-45,5k-10k,Pastor,vestuário,Melo de Gomes,PB,2,1005.03,2692.99
trx_73,2024-01-03 12:00:00,estab_13,Hipercard,débito,926.64,aprovada,cli_358,Feminino,18-25,5k-10k,da Paz,mercado,Marques de Cirino,AP,1,926.64,926.64
trx_74,2024-03-09 07:00:00,estab_22,Elo,débito,1406.21,aprovada,cli_456,Masculino,36-45,5k-10k,Macedo da Cunha - EI,vestuário,Moraes,RR,3,1406.21,2076.89
trx_75,2024-09-14 17:00:00,estab_10,Hipercard,crédito,778.99,aprovada,cli_342,Feminino,46-60,<2k,da Luz,vestuário,Teixeira,TO,9,778.99,2278.15
trx_76,2024-11-28 02:00:00,estab_30,Hipercard,crédito,711.49,aprovada,cli_449,Masculino,36-45,2k-5k,Araújo - EI,farmácia,Dias de Gonçalves,MG,11,711.49,1483.6399999999999
trx_77,2024-02-22 04:00:00,estab_5,Elo,crédito,324.05,aprovada,cli_450,Feminino,36-45,5k-10k,Carvalho S.A.,mercado,Alves,AP,2,1589.45,1010.6700000000001
trx_78,2024-06-24 03:00:00,estab_10,Mastercard,débito,1134.3,aprovada,cli_245,Feminino,60+,5k-10k,da Luz,vestuário,Teixeira,TO,6,1134.3,3412.45
trx_79,2024-12-14 11:00:00,estab_12,Mastercard,crédito,215.46,recusada,cli_288,Masculino,46-60,<2k,da Rosa,eletrodomésticos,das Neves,MS,12,215.46,2239.19
trx_80,2024-05-27 21:00:00,estab_11,Mastercard,crédito,739.24,estornada,cli_471,Feminino,46-60,5k-10k,Cirino Cirino e Filhos,farmácia,Câmara do Campo,BA,5,739.24,1913.41
trx_81,2024-06-23 21:00:00,estab_1,Hipercard,débito,634.88,aprovada,cli_278,Masculino,46-60,2k-5k,Pacheco Costela S/A,eletrodomésticos,das Neves de Lopes,MA,6,634.88,2930.9
trx_82,2024-10-19 01:00:00,estab_34,Mastercard,débito,989.16,aprovada,cli_261,Feminino,18-25,<2k,Cavalcante,farmácia,Azevedo,MS,10,989.16,2136.47
trx_83,2024-10-04 19:00:00,estab_35,Hipercard,crédito,1376.84,aprovada,cli_340,Feminino,60+,10k+,Rodrigues,eletrodomésticos,Cavalcanti de Cunha,TO,10,1845.94,2364.3199999999997
trx_84,2024-04-06 18:00:00,estab_16,Mastercard,débito,1420.16,aprovada,cli_430,Masculino,26-35,2k-5k,Sales - EI,vestuário,Mendonça das Pedras,SE,4,1420.16,2410.46
trx_85,2024-06-19 10:00:00,estab_27,Elo,crédito,255.86,aprovada,cli_441,Feminino,60+,10k+,Fogaça Mendonça S.A.,mercado,Carvalho do Norte,DF,6,255.86,1262.29
trx_86,2024-10-17 00:00:00,estab_27,Visa,débito,396.42,aprovada,cli_260,Masculino,18-25,2k-5k,Fogaça Mendonça S.A.,mercado,Carvalho do Norte,DF,10,396.42,1658.71
trx_87,2024-05-05 04:00:00,estab_21,Hipercard,débito,1218.39,aprovada,cli_332,Feminino,26-35,2k-5k,da Mata,eletrodomésticos,Carvalho de Souza,SE,5,1218.39,2549.28
trx_88,2024-08-02 00:00:00,estab_37,Elo,débito,779.83,aprovada,cli_231,Feminino,60+,2k-5k,Aparecida,eletrodomésticos,Andrade de Pires,PB,8,779.83,779.83
trx_89,2024-01-14 17:00:00,estab_6,Hipercard,débito,682.29,aprovada,cli_247,Feminino,60+,10k+,Duarte,farmácia,Alves,AL,1,682.29,1397.4699999999998
trx_90,2024-05-31 16:00:00,estab_14,Hipercard,débito,1067.39,aprovada,cli_254,Masculino,36-45,10k+,Moreira,vestuário,Aparecida,AL,5,1067.39,1110.7900000000002
trx_91,2024-11-28 14:00:00,estab_31,Elo,débito,904.88,aprovada,cli_460,Masculino,46-60,10k+,Ferreira Ltda.,vestuário,Fogaça,PA,11,904.88,904.88
trx_92,2024-06-20 03:00:00,estab_10,Mastercard,crédito,1456.22,aprovada,cli_82,Feminino,46-60,2k-5k,da Luz,vestuário,Teixeira,TO,6,1456.22,4868.67
trx_93,2024-02-25 21:00:00,estab_23,Hipercard,crédito,878.04,estornada,cli_264,Feminino,18-25,<2k,Souza,restaurante,da Cruz,AM,2,878.04,1590.96
trx_94,2024-12-16 07:00:00,estab_2,Visa,crédito,701.63,aprovada,cli_2,Feminino,18-25,10k+,Silva,farmácia,Brito,RO,12,701.63,701.63
trx_95,2024-01-15 02:00:00,estab_29,Visa,débito,816.51,aprovada,cli_444,Masculino,46-60,<2k,Pastor,vestuário,Melo de Gomes,PB,1,816.51,3509.5
trx_96,2024-09-02 15:00:00,estab_5,Elo,débito,1213.77,aprovada,cli_222,Feminino,36-45,5k-10k,Carvalho S.A.,mercado,Alves,AP,9,1213.77,2224.44
trx_97,2024-04-22 20:00:00,estab_1,Visa,crédito,920.95,aprovada,cli_249,Masculino,60+,10k+,Pacheco Costela S/A,eletrodomésticos,das Neves de Lopes,MA,4,920.95,3851.85
trx_98,2024-03-13 22:00:00,estab_13,Elo,crédito,972.34,aprovada,cli_191,Masculino,26-35,2k-5k,da Paz,mercado,Marques de Cirino,AP,3,972.34,1898.98
trx_99,2024-08-21 12:00:00,estab_40,Elo,crédito,1457.3,aprovada,cli_45,Feminino,60+,2k-5k,Vieira,vestuário,Moraes das Pedras,PE,8,1457.3,5218.47
trx_100,2024-04-10 21:00:00,estab_17,Hipercard,débito,929.5,aprovada,cli_439,Feminino,18-25,10k+,Rezende - ME,eletrodomésticos,Silveira de Cavalcanti,DF,4,929.5,929.5
trx_101,2024-10-23 15:00:00,estab_43,Elo,crédito,573.53,estornada,cli_294,Feminino,60+,10k+,Silva S/A,mercado,Cavalcanti dos Dourados,MS,10,573.53,2330.55
trx_102,2024-08-09 15:00:00,estab_30,Elo,crédito,1038.53,recusada,cli_268,Masculino,46-60,2k-5k,Araújo - EI,farmácia,Dias de Gonçalves,MG,8,1038.53,2522.17
trx_103,2024-10-02 09:00:00,estab_12,Mastercard,crédito,990.89,aprovada,cli_40,Feminino,18-25,<2k,da Rosa,eletrodomésticos,das Neves,MS,10,990.89,3230.08
trx_104,2024-08-12 11:00:00,estab_25,Hipercard,crédito,25.7,recusada,cli_138,Masculino,46-60,5k-10k,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,8,25.7,1971.2600000000002
trx_105,2024-06-15 09:00:00,estab_43,Visa,débito,703.66,aprovada,cli_40,Feminino,18-25,<2k,Silva S/A,mercado,Cavalcanti dos Dourados,MS,6,1694.55,3034.21
trx_106,2024-12-27 16:00:00,estab_11,Mastercard,crédito,1115.64,aprovada,cli_330,Feminino,60+,5k-10k,Cirino Cirino e Filhos,farmácia,Câmara do Campo,BA,12,1115.64,3029.05
trx_107,2024-12-01 04:00:00,estab_17,Mastercard,crédito,751.07,aprovada,cli_493,Feminino,18-25,<2k,Rezende - ME,eletrodomésticos,Silveira de Cavalcanti,DF,12,767.0400000000001,1680.5700000000002
trx_108,2024-12-09 06:00:00,estab_8,Hipercard,débito,1170.53,aprovada,cli_174,Masculino,60+,2k-5k,Dias - ME,farmácia,da Rocha do Amparo,PB,12,1170.53,2179.44
trx_109,2024-07-22 01:00:00,estab_48,Hipercard,débito,679.07,aprovada,cli_432,Feminino,18-25,10k+,Santos,mercado,Sousa,AP,7,679.07,739.7700000000001
trx_110,2024-07-19 06:00:00,estab_20,Mastercard,débito,1475.07,recusada,cli_448,Masculino,36-45,10k+,Lima da Cunha S/A,mercado,da Cruz,RS,7,1475.07,2654.29
trx_111,2024-12-24 00:00:00,estab_47,Hipercard,débito,442.87,aprovada,cli_290,Feminino,46-60,<2k,Pinto,eletrodomésticos,Alves,TO,12,442.87,564.37
trx_112,2024-09-03 09:00:00,estab_48,Hipercard,débito,142.72,estornada,cli_418,Masculino,60+,<2k,Santos,mercado,Sousa,AP,9,142.72,882.4900000000001
trx_113,2024-10-23 20:00:00,estab_39,Elo,crédito,647.87,aprovada,cli_322,Masculino,60+,5k-10k,Nunes - EI,mercado,Garcia,RJ,10,1976.23,647.87
trx_114,2024-05-11 13:00:00,estab_42,Hipercard,crédito,814.85,aprovada,cli_387,Feminino,46-60,10k+,Vieira,vestuário,Araújo do Sul,BA,5,814.85,1049.17
trx_115,2024-01-17 06:00:00,estab_23,Elo,crédito,526.9,aprovada,cli_279,Feminino,46-60,5k-10k,Souza,restaurante,da Cruz,AM,1,865.04,2117.8599999999997
trx_116,2024-07-03 14:00:00,estab_33,Mastercard,débito,367.21,recusada,cli_93,Feminino,36-45,5k-10k,Barros,restaurante,Rocha,GO,7,367.21,1385.6
trx_117,2024-11-16 06:00:00,estab_7,Mastercard,crédito,1009.73,aprovada,cli_351,Masculino,36-45,5k-10k,Rocha - EI,farmácia,Costa,RN,11,1009.73,1640.27
trx_118,2024-06-25 08:00:00,estab_43,Visa,débito,568.8,aprovada,cli_368,Masculino,26-35,2k-5k,Silva S/A,mercado,Cavalcanti dos Dourados,MS,6,568.8,3603.0099999999998
trx_119,2024-11-29 15:00:00,estab_32,Hipercard,débito,948.9,aprovada,cli_339,Masculino,36-45,<2k,Monteiro Novais - EI,vestuário,Rios,BA,11,948.9,3271.3199999999997
trx_120,2024-03-04 09:00:00,estab_22,Mastercard,crédito,1169.71,aprovada,cli_419,Masculino,18-25,10k+,Macedo da Cunha - EI,vestuário,Moraes,RR,3,1169.71,3246.6
trx_121,2024-03-03 12:00:00,estab_12,Elo,débito,1142.7,aprovada,cli_204,Feminino,60+,<2k,da Rosa,eletrodomésticos,das Neves,MS,3,1142.7,4372.780000000001
trx_122,2024-10-07 17:00:00,estab_48,Mastercard,crédito,566.09,aprovada,cli_55,Masculino,60+,5k-10k,Santos,mercado,Sousa,AP,10,566.09,1448.5800000000002
trx_123,2024-05-17 06:00:00,estab_13,Hipercard,débito,854.01,aprovada,cli_230,Feminino,46-60,5k-10k,da Paz,mercado,Marques de Cirino,AP,5,854.01,2752.99
trx_124,2024-07-30 21:00:00,estab_13,Visa,crédito,677.24,aprovada,cli_259,Masculino,18-25,5k-10k,da Paz,mercado,Marques de Cirino,AP,7,677.24,3430.23
trx_125,2024-04-10 19:00:00,estab_15,Visa,débito,1306.85,aprovada,cli_219,Feminino,36-45,5k-10k,Montenegro,mercado,Ribeiro dos Dourados,PA,4,1306.85,2643.76
trx_126,2024-05-06 18:00:00,estab_48,Mastercard,débito,1318.74,aprovada,cli_167,Masculino,60+,<2k,Santos,mercado,Sousa,AP,5,1318.74,2767.32
trx_127,2024-07-06 09:00:00,estab_37,Visa,débito,518.89,recusada,cli_170,Masculino,46-60,5k-10k,Aparecida,eletrodomésticos,Andrade de Pires,PB,7,518.89,1298.72
trx_128,2024-03-02 02:00:00,estab_38,Hipercard,crédito,142.15,aprovada,cli_498,Feminino,18-25,2k-5k,Oliveira,restaurante,Cunha,RJ,3,142.15,142.15
trx_129,2024-05-28 09:00:00,estab_25,Hipercard,débito,255.54,aprovada,cli_313,Masculino,36-45,10k+,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,5,255.54,2226.8
trx_130,2024-01-26 14:00:00,estab_25,Visa,crédito,553.67,aprovada,cli_317,Masculino,18-25,5k-10k,Cirino Duarte Ltda.,farmácia,Costela de Araújo,RS,1,553.67,2780.4700000000003
trx_131,2024-08-12 16:00:00,estab_0,Elo,débito,848.55,estornada,cli_390,Masculino,26-35,<2k,da Cunha Santos Ltda.,vestuário,Vargas,TO,8,848.55,1305.81
trx_132,2024-11-16 13:00:00,estab_31,Visa,crédito,986.9,aprovada,cli_136,Masculino,18-25,2k-5k,Ferreira Ltda.,vestuário,Fogaça,PA,11,986.9,1891.78
trx_133,2024-05-14 07:00:00,estab_14,Visa,débito,500.4,aprovada,cli_277,Feminino,26-35,10k+,Moreira,vestuário,Aparecida,AL,5,500.4,1611.19
trx_134,2024-10-24 10:00:00,estab_20,Mastercard,crédito,1002.91,recusada,cli_259,Masculino,18-25,5k-10k,Lima da Cunha S/A,mercado,da Cruz,RS,10,1680.15,3657.2
trx_135,2024-04-21 03:00:00,estab_17,Elo,débito,1406.92,aprovada,cli_383,Feminino,26-35,2k-5k,Rezende - ME,eletrodomésticos,Silveira de Cavalcanti,DF,4,1406.92,3087.4900000000002
trx_136,2024-11-28 12:00:00,estab_29,Visa,débito,979.76,aprovada,cli_419,Masculino,18-25,10k+,Pastor,vestuário,Melo de Gomes,PB,11,2149.4700000000003,4489.26
trx_137,2024-01-06 10:00:00,estab_12,Mastercard,débito,242.06,aprovada,cli_480,Feminino,46-60,2k-5k,da Rosa,eletrodomésticos,das Neves,MS,1,242.06,4614.84
trx_138,2024-05-04 07:00:00,estab_23,Mastercard,crédito,871.61,aprovada,cli_453,Masculino,60+,<2k,Souza,restaurante,da Cruz,AM,5,871.61,2989.47
trx_139,2024-06-27 06:00:00,estab_29,Mastercard,débito,815.13,aprovada,cli_450,Feminino,36-45,5k-10k,Pastor,vestuário,Melo de Gomes,PB,6,2404.58,5304.39
trx_140,2024-10-23 22:00:00,estab_1,Hipercard,débito,1306.7,aprovada,cli_290,Feminino,46-60,<2k,Pacheco Costela S/A,eletrodomésticos,das Neves de Lopes,MA,10,1749.5700000000002,5158.55
trx_141,2024-12-08 22:00:00,estab_18,Mastercard,débito,528.7,aprovada,cli_288,Masculino,46-60,<2k,Rodrigues Guerra e Filhos,restaurante,Lopes,PB,12,744.1600000000001,1519.76
trx_142,2024-11-16 14:00:00,estab_46,Mastercard,crédito,637.3,aprovada,cli_134,Masculino,18-25,5k-10k,Caldeira,mercado,Pimenta dos Dourados,BA,11,637.3,637.3
