id_transacao,id_cliente
trx_140,cli_290
trx_141,cli_288
trx_142,cli_134
trx_143,cli_104
trx_144,cli_226
trx_145,cli_438
trx_146,cli_376
trx_147,cli_430
trx_148,cli_189
trx_149,cli_194
trx_150,cli_63
trx_151,cli_376
trx_152,cli_170
trx_153,cli_17
trx_154,cli_258
trx_155,cli_314
trx_156,cli_371
trx_157,cli_189
trx_158,cli_294
trx_159,cli_474
trx_160,cli_319
trx_161,cli_456
trx_162,cli_252
trx_163,cli_80
trx_164,cli_59
trx_165,cli_104
trx_166,cli_425
trx_167,cli_364
trx_168,cli_260
trx_169,cli_254
trx_170,cli_45
trx_171,cli_131
trx_172,cli_13
trx_173,cli_476
trx_174,cli_266
trx_175,cli_443
trx_176,cli_21
trx_177,cli_105
trx_178,cli_4
trx_179,cli_180
trx_180,cli_395
trx_181,cli_148
trx_182,cli_334
trx_183,cli_279
trx_184,cli_12
trx_185,cli_351
trx_186,cli_25
trx_187,cli_39
trx_188,cli_281
trx_189,cli_483
trx_190,cli_428
trx_191,cli_285
trx_192,cli_63
trx_193,cli_110
trx_194,cli_328
trx_195,cli_87
trx_196,cli_123
trx_197,cli_421
trx_198,cli_145
trx_199,cli_392
trx_200,cli_213
trx_201,cli_439
trx_202,cli_127
trx_203,cli_293
trx_204,cli_148
trx_205,cli_326
trx_206,cli_139
trx_207,cli_291
trx_208,cli_121
trx_209,cli_10
trx_210,cli_383
trx_211,cli_450
trx_212,cli_282
trx_213,cli_251
trx_214,cli_446
trx_215,cli_454
trx_216,cli_193
trx_217,cli_329
trx_218,cli_194
trx_219,cli_80
trx_220,cli_106
trx_221,cli_320
trx_222,cli_417
trx_223,cli_460
trx_224,cli_205
trx_225,cli_208
trx_226,cli_126
trx_227,cli_33
trx_228,cli_63
trx_229,cli_16
trx_230,cli_434
trx_231,cli_248
trx_232,cli_104
trx_233,cli_439
trx_234,cli_344
trx_235,cli_107
trx_236,cli_221
trx_237,cli_175
trx_238,cli_227
trx_239,cli_189
trx_240,cli_439
trx_241,cli_394
trx_242,cli_212
trx_243,cli_403
trx_244,cli_220
trx_245,cli_323
trx_246,cli_161
trx_247,cli_297
trx_248,cli_424
trx_249,cli_248
trx_250,cli_189
trx_251,cli_400
trx_252,cli_11
trx_253,cli_67
trx_254,cli_40
trx_255,cli_397
trx_256,cli_259
trx_257,cli_125
trx_258,cli_225
trx_259,cli_209
trx_260,cli_332
trx_261,cli_329
trx_262,cli_397
trx_263,cli_264
trx_264,cli_170
trx_265,cli_403
trx_266,cli_0
trx_267,cli_363
trx_268,cli_348
trx_269,cli_208
trx_270,cli_240
trx_271,cli_71
trx_272,cli_272
trx_273,cli_468
trx_274,cli_88
trx_275,cli_19
trx_276,cli_314
trx_277,cli_472
trx_278,cli_468
trx_279,cli_140
trx_280,cli_376
trx_281,cli_332
trx_282,cli_174
trx_283,cli_49
trx_284,cli_93
trx_285,cli_460
trx_286,cli_167
trx_287,cli_390
trx_288,cli_54
trx_289,cli_50
trx_290,cli_489
trx_291,cli_331
trx_292,cli_385
trx_293,cli_269
trx_294,cli_361
trx_295,cli_144
trx_296,cli_76
trx_297,cli_128
trx_298,cli_374
trx_299,cli_110
trx_300,cli_0
trx_301,cli_366
trx_302,cli_25
trx_303,cli_115
trx_304,cli_494
trx_305,cli_173
trx_306,cli_12
trx_307,cli_33
trx_308,cli_317
trx_309,cli_231
trx_310,cli_72
trx_311,cli_50
trx_312,cli_210
trx_313,cli_214
trx_314,cli_40
trx_315,cli_310
trx_316,cli_411
trx_317,cli_93
trx_318,cli_188
trx_319,cli_134
trx_320,cli_205
trx_321,cli_1
trx_322,cli_203
trx_323,cli_490
trx_324,cli_240
trx_325,cli_257
trx_326,cli_155
trx_327,cli_53
trx_328,cli_475
trx_329,cli_459
trx_330,cli_93
trx_331,cli_313
trx_332,cli_430
trx_333,cli_60
trx_334,cli_359
trx_335,cli_167
trx_336,cli_469
trx_337,cli_273
trx_338,cli_397
trx_339,cli_24
trx_340,cli_393
trx_341,cli_355
trx_342,cli_47
trx_343,cli_431
trx_344,cli_188
trx_345,cli_52
trx_346,cli_240
trx_347,cli_392
trx_348,cli_394
trx_349,cli_26
trx_350,cli_58
trx_351,cli_185
trx_352,cli_140
trx_353,cli_448
trx_354,cli_486
trx_355,cli_394
trx_356,cli_56
trx_357,cli_194
trx_358,cli_449
trx_359,cli_365
trx_360,cli_105
trx_361,cli_279
trx_362,cli_467
trx_363,cli_432
trx_364,cli_167
trx_365,cli_334
trx_366,cli_245
trx_367,cli_453
trx_368,cli_339
trx_369,cli_213
trx_370,cli_1
trx_371,cli_437
trx_372,cli_398
trx_373,cli_303
trx_374,cli_353
trx_375,cli_181
trx_376,cli_301
trx_377,cli_440
trx_378,cli_182
trx_379,cli_443
trx_380,cli_94
trx_381,cli_413
trx_382,cli_155
trx_383,cli_179
trx_384,cli_96
trx_385,cli_424
trx_386,cli_368
trx_387,cli_276
trx_388,cli_237
trx_389,cli_342
trx_390,cli_297
trx_391,cli_12
trx_392,cli_300
trx_393,cli_345
trx_394,cli_181
trx_395,cli_402
trx_396,cli_154
trx_397,cli_423
trx_398,cli_250
trx_399,cli_390
trx_400,cli_280
trx_401,cli_176
trx_402,cli_359
trx_403,cli_419
trx_404,cli_70
trx_405,cli_374
trx_406,cli_83
trx_407,cli_407
trx_408,cli_188
trx_409,cli_91
trx_410,cli_368
trx_411,cli_68
trx_412,cli_307
trx_413,cli_163
trx_414,cli_478
trx_415,cli_178
trx_416,cli_32
trx_417,cli_52
trx_418,cli_215
trx_419,cli_201
trx_420,cli_37
trx_421,cli_427
trx_422,cli_496
trx_423,cli_260
trx_424,cli_373
trx_425,cli_30
trx_426,cli_392
trx_427,cli_287
trx_428,cli_424
trx_429,cli_4
trx_430,cli_178
trx_431,cli_53
trx_432,cli_218
trx_433,cli_283
trx_434,cli_426
trx_435,cli_267
trx_436,cli_452
trx_437,cli_199
trx_438,cli_272
trx_439,cli_263
trx_440,cli_225
trx_441,cli_470
trx_442,cli_17
trx_443,cli_242
trx_444,cli_116
trx_445,cli_9
trx_446,cli_38
trx_447,cli_40
trx_448,cli_107
trx_449,cli_43
trx_450,cli_196
trx_451,cli_298
trx_452,cli_208
trx_453,cli_430
trx_454,cli_458
trx_455,cli_366
trx_456,cli_175
trx_457,cli_274
trx_458,cli_276
trx_459,cli_235
trx_460,cli_2
trx_461,cli_359
trx_462,cli_311
trx_463,cli_382
trx_464,cli_426
trx_465,cli_384
trx_466,cli_343
trx_467,cli_253
trx_468,cli_35
trx_469,cli_5
trx_470,cli_329
trx_471,cli_494
trx_472,cli_487
trx_473,cli_301
trx_474,cli_481
trx_475,cli_471
trx_476,cli_406
trx_477,cli_19
trx_478,cli_436
trx_479,cli_421
trx_480,cli_290
trx_481,cli_161
trx_482,cli_237
trx_483,cli_433
trx_484,cli_46
trx_485,cli_291
trx_486,cli_15
trx_487,cli_470
trx_488,cli_107
trx_489,cli_176
trx_490,cli_64
trx_491,cli_62
trx_492,cli_307
trx_493,cli_72
trx_494,cli_203
trx_495,cli_253
trx_496,cli_59
trx_497,cli_100
trx_498,cli_16
trx_499,cli_194
trx_500,cli_250
trx_501,cli_37
trx_502,cli_284
trx_503,cli_30
trx_504,cli_482
trx_505,cli_442
trx_506,cli_309
trx_507,cli_357
trx_508,cli_180
trx_509,cli_281
trx_510,cli_140
trx_511,cli_244
trx_512,cli_440
trx_513,cli_274
trx_514,cli_223
trx_515,cli_366
trx_516,cli_26
trx_517,cli_249
trx_518,cli_230
trx_519,cli_12
trx_520,cli_307
trx_521,cli_97
trx_522,cli_191
trx_523,cli_185
trx_524,cli_18
trx_525,cli_338
trx_526,cli_258
trx_527,cli_66
trx_528,cli_25
trx_529,cli_5
trx_530,cli_140
trx_531,cli_237
trx_532,cli_229
trx_533,cli_26
trx_534,cli_104
trx_535,cli_343
trx_536,cli_9
trx_537,cli_271
trx_538,cli_278
trx_539,cli_302
trx_540,cli_11
trx_541,cli_155
trx_542,cli_76
trx_543,cli_17
trx_544,cli_57
trx_545,cli_129
trx_546,cli_173
trx_547,cli_400
trx_548,cli_86
trx_549,cli_319
trx_550,cli_342
trx_551,cli_448
trx_552,cli_53
trx_553,cli_426
trx_554,cli_77
trx_555,cli_203
trx_556,cli_438
trx_557,cli_269
trx_558,cli_496
trx_559,cli_171
trx_560,cli_37
trx_561,cli_185
trx_562,cli_360
trx_563,cli_235
trx_564,cli_432
trx_565,cli_15
trx_566,cli_225
trx_567,cli_337
trx_568,cli_495
trx_569,cli_73
trx_570,cli_210
trx_571,cli_285
trx_572,cli_323
trx_573,cli_326
trx_574,cli_335
trx_575,cli_114
trx_576,cli_246
trx_577,cli_36
trx_578,cli_452
trx_579,cli_54
trx_580,cli_166
trx_581,cli_440
trx_582,cli_176
trx_583,cli_352
trx_584,cli_190
trx_585,cli_98
trx_586,cli_111
trx_587,cli_117
trx_588,cli_161
trx_589,cli_56
trx_590,cli_352
trx_591,cli_61
trx_592,cli_38
trx_593,cli_329
trx_594,cli_322
trx_595,cli_445
trx_596,cli_497
trx_597,cli_28
trx_598,cli_226
trx_599,cli_30
trx_600,cli_315
trx_601,cli_38
trx_602,cli_462
trx_603,cli_0
trx_604,cli_55
trx_605,cli_466
trx_606,cli_356
trx_607,cli_185
trx_608,cli_90
trx_609,cli_404
trx_610,cli_437
trx_611,cli_198
trx_612,cli_170
trx_613,cli_224
trx_614,cli_181
trx_615,cli_129
trx_616,cli_141
trx_617,cli_361
trx_618,cli_130
trx_619,cli_141
trx_620,cli_4
trx_621,cli_336
trx_622,cli_166
trx_623,cli_384
trx_624,cli_119
trx_625,cli_42
trx_626,cli_91
trx_627,cli_229
trx_628,cli_239
trx_629,cli_186
trx_630,cli_77
trx_631,cli_464
trx_632,cli_270
trx_633,cli_45
trx_634,cli_6
trx_635,cli_169
trx_636,cli_114
trx_637,cli_262
trx_638,cli_430
trx_639,cli_343
trx_640,cli_345
trx_641,cli_461
trx_642,cli_238
trx_643,cli_274
trx_644,cli_308
trx_645,cli_345
trx_646,cli_15
trx_647,cli_481
trx_648,cli_61
trx_649,cli_193
trx_650,cli_320
trx_651,cli_367
trx_652,cli_434
trx_653,cli_291
trx_654,cli_162
trx_655,cli_234
trx_656,cli_279
trx_657,cli_240
trx_658,cli_324
trx_659,cli_374
trx_660,cli_412
trx_661,cli_232
trx_662,cli_128
trx_663,cli_440
trx_664,cli_122
trx_665,cli_136
trx_666,cli_355
trx_667,cli_463
trx_668,cli_14
trx_669,cli_329
trx_670,cli_228
trx_671,cli_143
trx_672,cli_229
trx_673,cli_175
trx_674,cli_291
trx_675,cli_245
trx_676,cli_52
trx_677,cli_334
trx_678,cli_386
trx_679,cli_146
trx_680,cli_40
trx_681,cli_292
trx_682,cli_239
trx_683,cli_442
trx_684,cli_194
trx_685,cli_135
trx_686,cli_87
trx_687,cli_269
trx_688,cli_253
trx_689,cli_188
trx_690,cli_290
trx_691,cli_399
trx_692,cli_70
trx_693,cli_232
trx_694,cli_418
trx_695,cli_7
trx_696,cli_443
trx_697,cli_267
trx_698,cli_432
trx_699,cli_365
trx_700,cli_335
trx_701,cli_114
trx_702,cli_323
trx_703,cli_418
trx_704,cli_300
trx_705,cli_296
trx_706,cli_236
trx_707,cli_316
trx_708,cli_479
trx_709,cli_75
trx_710,cli_468
trx_711,cli_398
trx_712,cli_98
trx_713,cli_322
trx_714,cli_442
trx_715,cli_1
trx_716,cli_121
trx_717,cli_389
trx_718,cli_184
trx_719,cli_15
trx_720,cli_278
trx_721,cli_350
trx_722,cli_369
trx_723,cli_40
trx_724,cli_413
trx_725,cli_450
trx_726,cli_374
trx_727,cli_377
trx_728,cli_54
trx_729,cli_207
trx_730,cli_131
trx_731,cli_365
trx_732,cli_355
trx_733,cli_283
trx_734,cli_177
trx_735,cli_241
trx_736,cli_241
trx_737,cli_283
trx_738,cli_122
trx_739,cli_436
trx_740,cli_450
trx_741,cli_281
trx_742,cli_166
trx_743,cli_12
trx_744,cli_70
trx_745,cli_53
trx_746,cli_12
trx_747,cli_375
trx_748,cli_58
trx_749,cli_259
trx_750,cli_79
trx_751,cli_440
trx_752,cli_475
trx_753,cli_59
trx_754,cli_46
trx_755,cli_332
trx_756,cli_489
trx_757,cli_201
trx_758,cli_260
trx_759,cli_35
trx_760,cli_18
trx_761,cli_255
trx_762,cli_285
trx_763,cli_366
trx_764,cli_40
trx_765,cli_431
trx_766,cli_283
trx_767,cli_286
trx_768,cli_227
trx_769,cli_440
trx_770,cli_170
trx_771,cli_496
trx_772,cli_244
trx_773,cli_448
trx_774,cli_392
trx_775,cli_11
trx_776,cli_214
trx_777,cli_139
trx_778,cli_297
trx_779,cli_456
trx_780,cli_436
trx_781,cli_345
trx_782,cli_477
trx_783,cli_184
trx_784,cli_211
trx_785,cli_271
trx_786,cli_460
trx_787,cli_98
trx_788,cli_433
trx_789,cli_131
trx_790,cli_114
trx_791,cli_472
trx_792,cli_268
trx_793,cli_59
trx_794,cli_283
trx_795,cli_108
trx_796,cli_395
trx_797,cli_407
trx_798,cli_347
trx_799,cli_384
trx_800,cli_417
trx_801,cli_386
trx_802,cli_21
trx_803,cli_340
trx_804,cli_26
trx_805,cli_404
trx_806,cli_213
trx_807,cli_396
trx_808,cli_43
trx_809,cli_79
trx_810,cli_365
trx_811,cli_279
trx_812,cli_173
trx_813,cli_272
trx_814,cli_260
trx_815,cli_37
trx_816,cli_58
trx_817,cli_489
trx_818,cli_410
trx_819,cli_181
trx_820,cli_104
trx_821,cli_95
trx_822,cli_89
trx_823,cli_70
trx_824,cli_99
trx_825,cli_310
trx_826,cli_326
trx_827,cli_170
trx_828,cli_346
trx_829,cli_165
trx_830,cli_367
trx_831,cli_239
trx_832,cli_215
trx_833,cli_343
trx_834,cli_60
trx_835,cli_428
trx_836,cli_185
trx_837,cli_363
trx_838,cli_412
trx_839,cli_181
trx_840,cli_218
trx_841,cli_33
trx_842,cli_404
trx_843,cli_44
trx_844,cli_384
trx_845,cli_137
trx_846,cli_185
trx_847,cli_349
trx_848,cli_27
trx_849,cli_444
trx_850,cli_105
trx_851,cli_285
trx_852,cli_283
trx_853,cli_156
trx_854,cli_286
trx_855,cli_106
trx_856,cli_232
trx_857,cli_195
trx_858,cli_496
trx_859,cli_338
trx_860,cli_201
trx_861,cli_108
trx_862,cli_30
trx_863,cli_225
trx_864,cli_40
trx_865,cli_63
trx_866,cli_230
trx_867,cli_377
trx_868,cli_169
trx_869,cli_299
trx_870,cli_414
trx_871,cli_371
trx_872,cli_138
trx_873,cli_291
trx_874,cli_363
trx_875,cli_235
trx_876,cli_287
trx_877,cli_470
trx_878,cli_359
trx_879,cli_499
trx_880,cli_493
trx_881,cli_422
trx_882,cli_66
trx_883,cli_187
trx_884,cli_347
trx_885,cli_280
trx_886,cli_27
trx_887,cli_402
trx_888,cli_493
trx_889,cli_210
trx_890,cli_233
trx_891,cli_491
trx_892,cli_412
trx_893,cli_433
trx_894,cli_18
trx_895,cli_311
trx_896,cli_401
trx_897,cli_428
trx_898,cli_112
trx_899,cli_343
trx_900,cli_357
trx_901,cli_125
trx_902,cli_207
trx_903,cli_81
trx_904,cli_251
trx_905,cli_40
trx_906,cli_381
trx_907,cli_268
trx_908,cli_451
trx_909,cli_204
trx_910,cli_98
trx_911,cli_451
trx_912,cli_82
trx_913,cli_23
trx_914,cli_416
trx_915,cli_352
trx_916,cli_72
trx_917,cli_182
trx_918,cli_2
trx_919,cli_258
trx_920,cli_29
trx_921,cli_145
trx_922,cli_449
trx_923,cli_479
trx_924,cli_426
trx_925,cli_456
trx_926,cli_321
trx_927,cli_211
trx_928,cli_26
trx_929,cli_355
trx_930,cli_104
trx_931,cli_109
trx_932,cli_18
trx_933,cli_15
trx_934,cli_281
trx_935,cli_269
trx_936,cli_46
trx_937,cli_145
trx_938,cli_155
trx_939,cli_366
trx_940,cli_402
trx_941,cli_29
trx_942,cli_104
trx_943,cli_148
trx_944,cli_404
trx_945,cli_47
trx_946,cli_182
trx_947,cli_157
trx_948,cli_496
trx_949,cli_41
trx_950,cli_164
trx_951,cli_296
trx_952,cli_173
trx_953,cli_351
trx_954,cli_93
trx_955,cli_213
trx_956,cli_187
trx_957,cli_87
trx_958,cli_457
trx_959,cli_471
trx_960,cli_256
trx_961,cli_247
trx_962,cli_53
trx_963,cli_371
trx_964,cli_290
trx_965,cli_143
trx_966,cli_4
trx_967,cli_414
trx_968,cli_364
trx_969,cli_36
trx_970,cli_118
trx_971,cli_408
trx_972,cli_362
trx_973,cli_368
trx_974,cli_445
trx_975,cli_152
trx_976,cli_322
trx_977,cli_245
trx_978,cli_293
trx_979,cli_479
trx_980,cli_431
trx_981,cli_211
trx_982,cli_477
trx_983,cli_447
trx_984,cli_129
trx_985,cli_191
trx_986,cli_196
trx_987,cli_255
trx_988,cli_466
trx_989,cli_147
trx_990,cli_341
trx_991,cli_266
trx_992,cli_374
trx_993,cli_337
trx_994,cli_474
trx_995,cli_414
trx_996,cli_290
trx_997,cli_171
trx_998,cli_438
trx_999,cli_300
trx_1000,cli_148
trx_1001,cli_435
trx_1002,cli_147
trx_1003,cli_264
trx_1004,cli_94
trx_1005,cli_392
trx_1006,cli_185
trx_1007,cli_454
trx_1008,cli_416
trx_1009,cli_256
trx_1010,cli_210
trx_1011,cli_2
trx_1012,cli_166
trx_1013,cli_395
trx_1014,cli_349
trx_1015,cli_399
trx_1016,cli_204
trx_1017,cli_177
trx_1018,cli_343
trx_1019,cli_464
trx_1020,cli_26
trx_1021,cli_28
trx_1022,cli_126
trx_1023,cli_375
trx_1024,cli_104
trx_1025,cli_333
trx_1026,cli_68
trx_1027,cli_106
trx_1028,cli_179
trx_1029,cli_101
trx_1030,cli_261
trx_1031,cli_151
trx_1032,cli_39
trx_1033,cli_288
trx_1034,cli_136
trx_1035,cli_489
trx_1036,cli_176
trx_1037,cli_66
trx_1038,cli_150
trx_1039,cli_468
trx_1040,cli_277
trx_1041,cli_492
trx_1042,cli_327
trx_1043,cli_211
trx_1044,cli_333
trx_1045,cli_349
trx_1046,cli_115
trx_1047,cli_135
trx_1048,cli_146
trx_1049,cli_364
trx_1050,cli_165
trx_1051,cli_227
trx_1052,cli_133
trx_1053,cli_179
trx_1054,cli_289
trx_1055,cli_329
trx_1056,cli_350
trx_1057,cli_394
trx_1058,cli_42
trx_1059,cli_290
trx_1060,cli_138
trx_1061,cli_423
trx_1062,cli_252
trx_1063,cli_415
trx_1064,cli_432
trx_1065,cli_345
trx_1066,cli_469
trx_1067,cli_184
trx_1068,cli_64
trx_1069,cli_303
trx_1070,cli_476
trx_1071,cli_179
trx_1072,cli_294
trx_1073,cli_213
trx_1074,cli_437
trx_1075,cli_479
trx_1076,cli_152
trx_1077,cli_359
trx_1078,cli_428
trx_1079,cli_412
trx_1080,cli_356
trx_1081,cli_287
trx_1082,cli_122
trx_1083,cli_93
trx_1084,cli_379
trx_1085,cli_378
trx_1086,cli_81
trx_1087,cli_107
trx_1088,cli_239
trx_1089,cli_66
trx_1090,cli_267
trx_1091,cli_441
trx_1092,cli_242
trx_1093,cli_275
trx_1094,cli_305
trx_1095,cli_135
trx_1096,cli_158
trx_1097,cli_151
trx_1098,cli_381
trx_1099,cli_396
trx_1100,cli_455
trx_1101,cli_41
trx_1102,cli_333
trx_1103,cli_462
trx_1104,cli_468
trx_1105,cli_334
trx_1106,cli_25
trx_1107,cli_165
trx_1108,cli_365
trx_1109,cli_293
trx_1110,cli_438
trx_1111,cli_96
trx_1112,cli_393
trx_1113,cli_466
trx_1114,cli_266
trx_1115,cli_386
trx_1116,cli_122
trx_1117,cli_22
trx_1118,cli_317
trx_1119,cli_197
trx_1120,cli_40
trx_1121,cli_120
trx_1122,cli_424
trx_1123,cli_348
trx_1124,cli_3
trx_1125,cli_254
trx_1126,cli_130
trx_1127,cli_467
trx_1128,cli_306
trx_1129,cli_182
trx_1130,cli_106
trx_1131,cli_498
trx_1132,cli_446
trx_1133,cli_176
trx_1134,cli_71
trx_1135,cli_69
trx_1136,cli_68
trx_1137,cli_263
trx_1138,cli_122
trx_1139,cli_391
trx_1140,cli_226
trx_1141,cli_402
trx_1142,cli_367
trx_1143,cli_457
trx_1144,cli_182
trx_1145,cli_226
trx_1146,cli_456
trx_1147,cli_71
trx_1148,cli_7
trx_1149,cli_440
trx_1150,cli_71
trx_1151,cli_211
trx_1152,cli_262
trx_1153,cli_45
trx_1154,cli_149
trx_1155,cli_80
trx_1156,cli_427
trx_1157,cli_260
trx_1158,cli_481
trx_1159,cli_408
trx_1160,cli_174
trx_1161,cli_426
trx_1162,cli_142
trx_1163,cli_191
trx_1164,cli_158
trx_1165,cli_236
trx_1166,cli_82
trx_1167,cli_299
trx_1168,cli_478
trx_1169,cli_174
trx_1170,cli_139
trx_1171,cli_63
trx_1172,cli_278
trx_1173,cli_49
trx_1174,cli_214
trx_1175,cli_124
trx_1176,cli_35
trx_1177,cli_138
trx_1178,cli_85
trx_1179,cli_430
trx_1180,cli_55
trx_1181,cli_248
trx_1182,cli_221
trx_1183,cli_324
trx_1184,cli_292
trx_1185,cli_467
trx_1186,cli_248
trx_1187,cli_393
trx_1188,cli_439
trx_1189,cli_213
trx_1190,cli_297
trx_1191,cli_157
trx_1192,cli_93
trx_1193,cli_277
trx_1194,cli_485
trx_1195,cli_485
trx_1196,cli_438
trx_1197,cli_165
trx_1198,cli_55
trx_1199,cli_454
trx_1200,cli_369
trx_1201,cli_377
trx_1202,cli_419
trx_1203,cli_333
trx_1204,cli_394
trx_1205,cli_390
trx_1206,cli_351
trx_1207,cli_81
trx_1208,cli_499
trx_1209,cli_33
trx_1210,cli_62
trx_1211,cli_1
trx_1212,cli_189
trx_1213,cli_390
trx_1214,cli_42
trx_1215,cli_94
trx_1216,cli_273
trx_1217,cli_147
trx_1218,cli_6
trx_1219,cli_213
trx_1220,cli_307
trx_1221,cli_292
trx_1222,cli_97
trx_1223,cli_301
trx_1224,cli_358
trx_1225,cli_41
trx_1226,cli_315
trx_1227,cli_241
trx_1228,cli_383
trx_1229,cli_103
trx_1230,cli_246
trx_1231,cli_335
trx_1232,cli_77
trx_1233,cli_123
trx_1234,cli_488
trx_1235,cli_31
trx_1236,cli_421
trx_1237,cli_166
trx_1238,cli_281
trx_1239,cli_29
trx_1240,cli_253
trx_1241,cli_168
trx_1242,cli_358
trx_1243,cli_392
trx_1244,cli_31
trx_1245,cli_183
trx_1246,cli_52
trx_1247,cli_390
trx_1248,cli_459
trx_1249,cli_406
trx_1250,cli_336
trx_1251,cli_435
trx_1252,cli_148
trx_1253,cli_75
trx_1254,cli_469
trx_1255,cli_406
trx_1256,cli_68
trx_1257,cli_273
trx_1258,cli_228
trx_1259,cli_36
trx_1260,cli_134
trx_1261,cli_60
trx_1262,cli_130
trx_1263,cli_0
trx_1264,cli_59
trx_1265,cli_389
trx_1266,cli_379
trx_1267,cli_326
trx_1268,cli_346
trx_1269,cli_441
trx_1270,cli_30
trx_1271,cli_263
trx_1272,cli_461
trx_1273,cli_374
trx_1274,cli_398
trx_1275,cli_6
trx_1276,cli_390
trx_1277,cli_416
trx_1278,cli_424
trx_1279,cli_440
trx_1280,cli_134
trx_1281,cli_442
trx_1282,cli_19
trx_1283,cli_326
trx_1284,cli_433
trx_1285,cli_141
trx_1286,cli_373
trx_1287,cli_142
trx_1288,cli_209
trx_1289,cli_393
trx_1290,cli_482
trx_1291,cli_474
trx_1292,cli_124
trx_1293,cli_490
trx_1294,cli_320
trx_1295,cli_438
trx_1296,cli_411
trx_1297,cli_353
trx_1298,cli_431
trx_1299,cli_2
trx_1300,cli_443
trx_1301,cli_496
trx_1302,cli_130
trx_1303,cli_74
trx_1304,cli_323
trx_1305,cli_477
trx_1306,cli_422
trx_1307,cli_437
trx_1308,cli_159
trx_1309,cli_271
trx_1310,cli_16
trx_1311,cli_394
trx_1312,cli_355
trx_1313,cli_31
trx_1314,cli_376
trx_1315,cli_482
trx_1316,cli_373
trx_1317,cli_154
trx_1318,cli_111
trx_1319,cli_97
trx_1320,cli_260
trx_1321,cli_344
trx_1322,cli_91
trx_1323,cli_145
trx_1324,cli_2
trx_1325,cli_283
trx_1326,cli_449
trx_1327,cli_289
trx_1328,cli_341
trx_1329,cli_405
trx_1330,cli_372
trx_1331,cli_285
trx_1332,cli_481
trx_1333,cli_47
trx_1334,cli_64
trx_1335,cli_220
trx_1336,cli_444
trx_1337,cli_146
trx_1338,cli_466
trx_1339,cli_488
trx_1340,cli_179
trx_1341,cli_296
trx_1342,cli_348
trx_1343,cli_490
trx_1344,cli_352
trx_1345,cli_498
trx_1346,cli_80
trx_1347,cli_357
trx_1348,cli_192
trx_1349,cli_433
trx_1350,cli_296
trx_1351,cli_122
trx_1352,cli_288
trx_1353,cli_227
trx_1354,cli_469
trx_1355,cli_81
trx_1356,cli_400
trx_1357,cli_479
trx_1358,cli_83
trx_1359,cli_242
trx_1360,cli_438
